Customer_ID,Age,Gender,Location,Income_INR,Purchase_Frequency,Average_Order_Value_INR,Total_Spend_INR,Satisfaction_Score,Preferred_Category,Churn
CUST1001,45,Female,Delhi,75459,4,2643,10859,6.4,Home,No
CUST1002,32,Male,Hyderabad,46775,6,1874,11588,7.1,Beauty,No
CUST1003,33,Male,Bengaluru,52966,3,653,1946,8.1,Grocery,No
CUST1004,42,Male,Mumbai,32951,9,1609,12218,7.6,Beauty,No
CUST1005,42,Male,Kolkata,56601,7,2476,18056,7.5,Home,No
CUST1006,34,Male,Kolkata,75986,7,2123,13555,6.8,Clothing,No
CUST1007,30,Female,Kolkata,45233,5,1698,9280,7.1,Beauty,No
CUST1008,35,Female,Hyderabad,70788,7,2650,21604,8.4,Clothing,No
CUST1009,32,Female,Mumbai,63347,4,2281,7147,4.2,Grocery,Yes
CUST1010,37,Female,Bengaluru,65401,5,2331,13576,7.2,Electronics,No
CUST1011,22,Female,Kolkata,145000,5,1533,75000,7.6,Grocery,No
CUST1012,37,Female,Hyderabad,48617,6,1470,8681,8.4,Beauty,No
CUST1013,27,Female,Hyderabad,21758,3,695,1857,5.7,Clothing,No
CUST1014,43,Male,Kolkata,44800,4,1631,6672,5.6,Clothing,No
CUST1015,27,Male,Kolkata,75943,8,2408,19418,8.1,Home,No
CUST1016,27,Male,Kolkata,38272,9,1667,16942,4.3,Clothing,Yes
CUST1017,38,Male,Delhi,40955,6,2090,11424,9.2,Home,No
CUST1018,34,Male,Mumbai,66523,2,2522,6049,7.5,Electronics,Yes
CUST1019,57,Male,Mumbai,62250,8,2042,17639,9.5,Beauty,No
CUST1020,18,Female,Delhi,67418,8,2106,17032,5.6,Home,No
CUST1021,35,Female,Mumbai,34062,4,917,3588,6.5,Electronics,No
CUST1022,45,Male,Kolkata,101153,8,1590,12252,3.6,Clothing,Yes
CUST1023,28,Male,Delhi,33116,3,2922,8512,6.0,Clothing,No
CUST1024,25,Male,Delhi,57776,5,1867,9524,6.9,Electronics,No
CUST1025,25,Female,Mumbai,52144,6,3033,17742,4.3,Clothing,Yes
CUST1026,18,Male,Bengaluru,33640,7,1330,8594,6.6,Electronics,No
CUST1027,47,Female,Kolkata,48336,4,1952,7971,4.2,Home,Yes
CUST1028,31,Male,Mumbai,55420,9,1551,12558,6.8,Home,No
CUST1029,30,Female,Mumbai,43300,5,2185,11348,8.9,Electronics,No
CUST1030,18,Female,Kolkata,71870,8,2382,18546,7.1,Home,No
CUST1031,20,Male,Mumbai,52091,3,2192,7126,9.7,Home,No
CUST1032,49,Female,Kolkata,30857,6,2477,16626,8.4,Home,No
CUST1033,37,Female,Kolkata,29330,8,1791,16028,9.2,Grocery,No
CUST1034,46,Male,Hyderabad,65911,6,1676,10440,6.1,Beauty,No
CUST1035,44,Male,Hyderabad,28238,4,657,2765,6.0,Clothing,No
CUST1036,24,Female,Bengaluru,60696,8,2215,17034,7.7,Grocery,No
CUST1037,58,Female,Delhi,63004,5,1912,10337,4.8,Home,Yes
CUST1038,53,Female,Kolkata,37084,5,1756,9613,7.9,Electronics,No
CUST1039,28,Female,Bengaluru,71033,4,1676,5443,6.7,Home,No
CUST1040,18,Female,Mumbai,24080,9,1776,16710,9.2,Beauty,No
CUST1041,30,Other,Kolkata,60336,6,1646,11497,8.2,Home,No
CUST1042,36,Female,Mumbai,54265,4,1457,5579,8.8,Electronics,No
CUST1043,28,Female,Kolkata,52858,6,1956,10927,6.1,Beauty,No
CUST1044,32,Female,Hyderabad,33798,4,2115,8034,8.8,Home,No
CUST1045,26,Male,Delhi,38134,5,1299,5322,9.4,Beauty,No
CUST1046,43,Female,Bengaluru,84138,3,1540,4690,7.1,Clothing,No
CUST1047,35,Female,Delhi,76873,5,1667,8365,6.1,Clothing,No
CUST1048,44,Male,Mumbai,68358,4,1803,7383,6.1,Home,No
CUST1049,46,Female,Mumbai,71917,8,1717,14422,9.1,Beauty,No
CUST1050,18,Male,Kolkata,70228,5,2229,10078,10.0,Electronics,No
